实验ID,崩溃比例得分,惩罚因子,阶段得分,最终得分,得分降低,是否受惩罚
OP-2026-001,42.0,0.48,68.8931,33.0687,35.82,是
OP-2026-002,29.36,0.3355,64.0116,21.4786,42.53,是
OP-2026-003,64.86,0.7413,73.4687,54.4592,19.01,是
OP-2026-004,90.95,1.0,62.0573,62.0573,0.0,否
OP-2026-005,40.18,0.4592,69.4916,31.9105,37.58,是
OP-2026-006,90.92,1.0,77.6657,77.6657,0.0,否
OP-2026-007,55.44,0.6336,77.8832,49.3468,28.54,是
OP-2026-008,29.91,0.3418,69.1519,23.6381,45.51,是
OP-2026-009,94.72,1.0,74.7816,74.7816,0.0,否
OP-2026-010,51.17,0.5848,72.7841,42.5641,30.22,是
